10,0.205,1.76,24.51,13.4,9.7
11,0.215,1.78,26.37,14.28,10.33
12,0.225,1.8,28.22,15.16,10.95
13,0.234,1.81,30.05,16.02,11.56
14,0.243,1.82,31.87,16.87,12.16
15,0.251,1.83,33.68,17.71,12.76
16,0.26,1.84,35.49,18.54,13.34
17,0.268,1.85,37.29,19.37,13.92
18,0.275,1.86,39.08,20.19,14.49
20,0.29,1.87,42.66,21.8,15.62
22.5,0.308,1.87,47.12,23.79,17.01
25,0.325,1.88,51.57,25.76,18.38
27.5,0.34,1.87,56.02,27.7,19.72
30,0.356,1.87,60.48,29.63,21.04
32.5,0.37,1.87,64.93,31.55,22.35
35,0.384,1.86,69.4,33.45,23.65
37.5,0.398,1.85,73.88,35.33,24.94
40,0.411,1.84,78.37,37.21,26.22
45,0.435,1.82,87.41,40.92,28.77
50,0.459,1.8,96.5,44.6,31.29
55,0.481,1.78,105.65,48.26,33.79
60,0.503,1.76,114.87,51.89,36.27
65,0.523,1.73,124.16,55.49,38.75
70,0.543,1.71,133.51,59.07,41.22
80,0.581,1.66,152.42,66.14,46.17
90,0.649,1.62,171.42,73.01,51.13
100,0.691,1.58,190.47,79.7,56.08
110,0.719,1.54,209.72,86.33,60.99
120,0.74,1.5,229.25,92.95,65.85
130,0.757,1.46,249.07,99.56,70.69
140,0.774,1.43,269.17,106.15,75.52
150,0.79,1.39,289.54,112.73,80.37
160,0.808,1.36,310.14,119.26,85.22
170,0.827,1.33,330.95,125.74,90.1
180,0.848,1.31,351.93,132.16,95
200,0.893,1.25,394.29,144.78,104.89
225,0.955,1.2,447.68,160.04,117.34
250,1.02,1.14,501.2,174.69,129.8
275,1.1,1.09,554.58,188.68,142.18
300,1.17,1.05,607.58,202,154.43
325,1.25,1.01,660.06,214.65,166.47
350,1.33,0.976,711.9,226.65,178.27
375,1.41,0.943,763.01,238.04,189.78
400,1.49,0.913,813.35,248.82,201
450,1.65,0.858,911.57,268.81,222.49
500,1.8,0.811,1010,286.81,242.67
550,1.96,0.769,1100,303.05,261.57
600,2.11,0.732,1190,317.78,279.26
650,2.26,0.699,1270,331.18,295.82
700,2.4,0.669,1360,343.44,311.36
800,2.66,0.618,1510,365.38,339.77
900,2.88,0.574,1670,384.34,365.16
1000,3.07,0.538,1810,401.07,388.13
1100,3.23,0.506,1950,416.11,409.18
1200,3.36,0.478,2090,429.82,428.68
1300,3.47,0.454,2220,442.48,446.89
1400,3.57,0.432,2360,454.24,464.02
1500,3.67,0.413,2490,465.22,480.2
1600,3.77,0.395,2620,475.48,495.54
1700,3.88,0.379,2740,485.09,510.09
1800,3.99,0.364,2870,494.09,523.93
2000,4.24,0.339,3110,510.83,549.6
2250,4.58,0.312,3390,529.07,578.27
2500,4.94,0.289,3660,544.49,603.61
2750,5.32,0.27,3910,557.58,626.05
3000,5.72,0.254,4140,568.76,645.99
3250,6.11,0.239,4360,578.37,663.78
3500,6.51,0.227,4570,586.71,679.71
3750,6.9,0.215,4770,593.99,694.05
4000,7.3,0.205,4960,600.4,707.02
4500,8.06,0.188,5310,612.09,729.54
5000,8.8,0.174,5630,621.52,748.43
5500,9.5,0.161,5920,629.29,764.54
6000,10.2,0.151,6200,635.83,778.46
6500,10.8,0.142,6460,641.42,790.63
7000,11.4,0.134,6710,646.27,801.4
8000,12.5,0.121,7170,655.9,819.67
9000,13.5,0.11,7590,663.7,834.71
10000,14.3,0.101,7990,670.24,847.42